Ensembl	C1	C2	C3	C4	C5	C11	Ds1	Ds3	Ds4	Ds5	Ds8	Ds9
ENSG00000118898	21.02641114	33.18752566	31.5468583	30.32649075	17.3300518	41.85980414	39.34447405	30.61100645	27.25847987	31.27089675	25.58074718	25.26848397
ENSG00000103184	14.84705166	18.8948145	30.40363229	27.18521824	18.69821379	43.07313179	44.14607652	58.36973943	38.8081006	51.54504057	37.3036389	63.23146863
ENSG00000103174	7.962664576	9.353868563	17.67365617	19.66965034	8.436998903	19.28324311	17.77309574	17.8776427	14.50577365	17.4443605	14.44011828	30.04900797
ENSG00000033011	4.769304303	6.472877045	10.3199321	9.130240682	6.11112353	9.056624291	5.267429585	9.168021899	7.184139084	8.668450187	7.996409588	11.7303614
ENSG00000153446	4.561943246	3.778962899	6.519478062	9.688036737	4.33251295	5.849972628	11.64567765	11.15442664	3.67800422	12.85939511	5.201547984	8.717426108
ENSG00000118894	1.86624951	1.75852729	2.935310028	2.377972654	3.785248157	2.773320357	2.078305551	1.884537835	2.062432273	2.328302736	1.746788502	3.374487526
ENSG00000078328	333.5609957	329.0316806	236.6477843	276.2558354	284.3952711	329.0717936	261.8664994	160.5931836	279.7345639	162.9095514	317.5273322	295.4283484
ENSG00000067365	7.46499804	6.697369891	10.3817281	8.278867757	5.335831739	9.489955597	11.89650763	12.88616411	10.34653524	14.00563646	9.704380568	13.45777763
ENSG00000183044	240.8291312	217.982553	221.6004581	208.468936	193.7773424	184.3391375	244.7742279	189.3196522	212.9117583	190.634264	205.6940505	213.8782332
ENSG00000184857	3.566610174	4.75176523	3.800454036	4.579799185	5.016593943	2.209989659	3.439954015	3.718142215	4.399855515	5.229726146	4.231109927	4.298454348
ENSG00000140650	7.921192364	5.687152086	8.157072078	9.012809934	11.99422006	12.47994161	8.420720766	9.371755719	10.17466588	11.06839301	12.92623492	9.400358107
