Ensembl	C13	C14	C17	C19	C20	C21	C22	C23	Ds11	Ds12	Ds13	Ds15	Ds16	Ds17	Ds18	Ds19
ENSG00000204116	152.1878571	167.3703831	89.32794659	104.4286138	102.9696605	103.7182187	112.1595632	109.6845647	17.64137692	70.80405856	81.34406269	44.02697509	82.99754829	18.25220058	27.2792595	68.10456722
ENSG00000147100	13.83525974	12.37623538	23.10725992	22.97429504	24.92629342	29.20436725	23.66904183	25.45166695	21.23816251	23.26593311	20.4211036	21.67296954	17.98340278	24.46571566	17.8209116	35.3134793
ENSG00000131263	357.0880539	405.0669038	242.8457755	230.7872365	237.4499183	233.3501717	262.4043017	238.6743054	78.5012727	205.5513173	211.3893634	127.0733075	184.8073937	97.02144916	90.89241645	166.3648881
ENSG00000050030	113.9564227	97.62665672	78.15852286	89.87189794	86.95154296	99.98461593	89.53850271	88.50369902	29.23101936	69.61484311	65.59506006	43.7465485	68.43783943	27.31357675	10.3234407	73.86465499
ENSG00000131269	28.59287013	29.99417045	19.42985751	22.78442483	19.53159062	21.29419194	16.20536989	23.02769867	16.6137239	18.96646185	20.35922147	19.95034904	28.90318442	19.99975169	18.91669581	18.33439703
ENSG00000094841	35.97167533	26.49970399	27.44330156	25.7907031	25.23060998	21.29419194	25.25379409	25.59595078	12.90275464	22.65607903	27.84695946	16.14455956	22.09183548	11.00309964	15.9753803	21.00737894
ENSG00000102383	10.14585714	15.65229768	6.641278979	9.904895794	9.184827319	10.50471281	10.99102374	10.96557079	3.025867239	9.391752815	8.199382507	6.650116347	8.469137581	2.718412852	3.806408303	9.938974984
ENSG00000186675	3.91999026	2.766452614	3.073649775	3.797404138	3.983780524	4.018369058	4.575333139	0.692562366	1.141836694	3.781095289	2.568108483	2.323534627	3.856160515	1.87699935	0.461382825	4.028296679
ENSG00000102390	15.49549091	18.56435307	10.81266082	11.42385745	12.06200214	10.82111983	10.9399027	12.49497935	6.280101816	8.446478993	10.79843206	7.611578951	9.730498497	10.80892729	4.671501099	8.169536256
ENSG00000198934	50.03752273	32.1054106	57.49371678	50.85357042	55.35795019	62.64858846	60.75735682	70.35279368	27.11862148	60.37555381	63.24353904	36.29521331	43.10250445	18.96416585	11.76526203	53.7231716
ENSG00000085224	802.2605948	1102.722572	414.5310701	482.7766461	454.5382917	422.4982837	427.8831103	406.389825	393.02019	379.9695839	399.4491629	322.0098506	405.5815929	307.7631693	285.365277	363.789073
ENSG00000102158	19.5999513	27.51892337	24.34220849	17.18325372	17.9546775	14.04847135	14.39057295	12.8701173	20.66724416	22.93051337	24.75285285	23.99650417	24.57851843	22.07092339	48.04148661	14.04256693
ENSG00000131174	63.82666494	52.05298997	60.62225316	60.03063042	60.75265299	70.55876378	62.98112209	65.87999506	15.64316271	45.95250485	47.03042042	48.23337399	51.57164203	27.05468029	22.20404843	42.69241527
ENSG00000165240	17.52466234	29.04775245	16.54831084	12.08840317	13.55591984	13.32073522	13.18922849	12.8701173	9.24887722	12.56299403	16.08935435	15.10297508	14.0551645	12.29758195	18.91669581	10.7672229
ENSG00000102144	252.0784325	186.0075376	303.3033689	294.9633664	298.0919107	341.6879327	318.5863254	305.7374278	93.34514972	331.2727357	301.7063352	166.3730915	257.0653547	112.1668922	68.28465804	202.4689677
ENSG00000187325	35.41826494	34.79906183	26.20835299	24.17680635	24.20699971	24.96451328	27.55424092	24.09539898	3.825152924	27.59589707	31.15765353	18.22772854	27.64182351	6.537135667	15.05261465	21.83562686
ENSG00000078596	18.49313052	25.84449152	21.62532163	14.43013572	19.42093005	17.46566709	27.656483	20.48830333	10.04816291	18.32611507	19.0596967	18.26778948	16.18145861	11.06782375	23.53052405	18.48498756
ENSG00000165288	100.2595156	129.1496562	62.29629455	84.77704738	70.40778773	74.13416302	63.18560625	71.04535604	76.56015032	56.77741475	63.4601265	65.05896956	76.72678259	67.70142483	70.64924502	65.35629005
ENSG00000198157	10.97597273	13.03144784	5.324000504	5.632816138	5.311707365	4.651183083	5.163225107	4.819079797	4.453163106	4.939818039	5.600332958	6.409750696	5.549988032	6.084066858	5.075211071	3.501229824
ENSG00000131171	68.30006559	76.29585104	57.65837659	50.72699028	52.34244966	60.56030218	61.60085399	58.52151992	27.51826432	56.4115023	57.27191329	57.68775626	64.32940673	33.65654007	35.12276752	48.41485541
ENSG00000196767	3.504932468	2.54804846	3.320639489	3.544243862	3.292151961	2.974225917	2.274886309	3.433955065	2.626224396	2.073503868	2.722813814	5.768775626	2.738955132	6.666583898	3.691062597	4.329477739
ENSG00000072133	49.89917013	61.3715672	29.28200277	39.20819773	34.11112073	35.27938189	32.99863175	34.16641005	12.44601996	30.85861639	33.69482095	21.11211635	33.94862809	12.42703018	4.729173952	32.86638319
ENSG00000165259	33.98862143	43.24402244	21.37833192	22.87935993	23.57070143	19.93364178	23.18339194	22.45056336	12.84566281	17.7772464	18.75028604	16.90571746	21.22690228	13.91568484	14.41821327	18.67322573
ENSG00000155008	38.96931494	57.51309382	28.0744975	34.61966773	31.12328534	36.86141695	28.11657236	33.04099621	18.32647894	30.06580609	31.86929805	32.32918007	29.94831204	20.32337227	19.55109719	31.73695421
ENSG00000184788	9.592446753	13.90506445	6.915711994	8.734029518	6.445978209	7.562127597	6.875779969	7.416188669	6.622652824	5.824106454	6.745152402	5.688653742	6.559076765	3.495102238	1.326475621	10.16486078
ENSG00000147180	121.0585227	153.3197159	67.94961467	77.87842987	65.81537407	70.90681149	68.3999524	68.27510658	24.54948892	56.59445852	53.4352211	34.05180057	54.38267493	24.91878447	21.05059137	50.44782757
ENSG00000188419	142.3187052	173.4856994	90.56289516	101.7387859	91.37796576	99.92133453	113.7187549	102.152949	35.96785586	89.46559338	85.73769407	61.29324103	92.43973572	43.10626093	43.54300407	80.75417174
ENSG00000126733	40.12225325	34.4350549	26.53767261	16.17061262	19.78057691	38.91806253	29.39459838	29.78018174	4.62443861	28.99856145	27.66131306	7.611578951	23.06488533	2.45951639	1.614839886	32.48990686
ENSG00000102271	28.03945974	27.15491645	32.90451858	29.4615271	30.79130363	27.59069149	24.35917587	19.10317859	18.04101976	25.73584213	27.38284347	12.89962328	24.90286838	8.996652057	65.92007107	19.65206417
ENSG00000174740	4.657870779	4.440884459	4.336041647	3.765759104	4.343427377	3.037507319	4.191925334	3.433955065	2.626224396	4.147007737	4.981511637	3.885911359	3.964277165	2.912585198	2.422259829	4.254182474
ENSG00000102290	42.79707013	47.46650274	29.17222956	50.88521545	32.75552875	42.36689897	32.07845301	25.7402346	9.933979237	27.50441896	35.17999212	27.2815014	37.98498302	11.90923725	8.650927961	35.68995562
ENSG00000186310	193.8781065	174.5049188	166.6906137	139.491312	153.1265639	152.1601323	177.0066033	162.0595936	35.68239668	145.3587197	142.7930199	84.5285873	132.803285	19.80557935	23.99190688	110.947573
ENSG00000179083	16.32560649	19.51077107	7.437134724	6.677102276	7.580249052	7.87853461	8.613895351	8.051037504	3.882244759	7.104800019	8.106559309	5.368166208	7.856476564	2.588964621	3.229679772	7.19069781
ENSG00000147202	61.38243572	76.65985796	36.17027146	42.27776607	38.73119954	33.22273631	42.66050843	37.19637041	39.27918227	43.51308853	34.5611708	31.688205	44.79633197	30.22616195	14.70657753	43.37007266
ENSG00000165194	86.42425585	81.97435903	65.69926395	86.58081435	64.37678666	86.66388071	73.69098011	74.39274081	45.04545757	76.87210665	75.5890244	45.70953465	65.41057323	57.53973869	14.07217615	103.5309894
ENSG00000000003	4.796223377	5.605706612	3.869505521	3.512598828	4.177436521	4.208213266	4.984301464	3.866806543	2.397857057	4.512920184	4.950570571	4.967556789	3.387655032	3.430378122	2.595278388	3.200048764
ENSG00000102359	0.461175325	4.004076152	1.893587808	3.132858414	1.161935986	2.689459606	1.968160065	1.70254915	4.167703933	2.835821467	1.547053303	1.762681441	2.774994016	8.673031479	0.922765649	0.90354318
ENSG00000102362	17.8936026	12.66744092	16.02688811	12.68965883	12.17266271	3.195710826	5.981161757	8.68588634	44.18908005	14.33157085	16.18217755	12.81950139	17.91132501	21.16478577	16.8404731	13.13902375
ENSG00000101811	13.55855455	10.04659107	14.43517662	13.00610917	13.47292441	11.01096403	13.11254693	13.07211466	11.70382611	13.75220948	13.39748161	11.85803879	13.80289231	9.643893212	10.61180497	11.89665187
ENSG00000188917	9.407976624	7.134535689	12.10249599	11.67701772	12.33865357	13.41565733	13.01030485	13.50496614	12.04637712	12.62397943	12.99524775	14.94273131	12.68568693	17.41078707	11.99595344	12.1601853
ENSG00000126950	39.93778312	47.61210551	29.72109559	29.366592	32.28522133	31.07116862	37.98293321	33.24299357	11.24709143	41.34810655	35.95351877	13.46047646	31.38986737	5.436825703	3.172006919	28.68749598
ENSG00000102384	2.674816883	3.348863691	1.481938284	2.721472966	1.991890262	1.708597867	1.789236423	1.442838262	1.94112238	1.585620605	1.701758634	2.083168976	1.982138583	0.776689386	2.076222711	1.844733993
ENSG00000102385	76.4167513	65.23004058	81.06751282	88.9225469	95.500072	82.64551165	90.99545237	102.0952355	44.47453923	84.67823886	82.67452853	78.27908037	80.00632097	58.12225573	23.76121547	107.5969337
